lat,Lignin,Cellulose
55.99,-111.72,NA
54.03,-119.19,NA
52.83,-128.06,NA
34.78,-119.37,NA
45.8,-91.95,NA
45.86,-79.48,NA
35.5,-76.85,NA
33.17,-80,NA
29.34,-82.11,NA
-25.36,-48.8,NA
45.53,0.146,NA
46.62,12.09,NA
55.29,9.81,NA
59.04,9.99,NA
59.93,14.38,NA
62.71,17.01,NA
60.37,25.8,NA
-30.01,30.27,NA
30.996,77.12,NA
39.21,117.49,NA
35.41,127.3,NA
33.05,130.82,NA
28.19,-110.94,NA
32.175,-97.06,NA
37.23,-84.58,NA
47.33,-76.15,NA
8.32,-80.53,NA
0.44,-78.42,NA
-40.11,-63.14,NA
-53.17,-70.16,NA
-7.45,-35.9,NA
-27.45,-56.46,NA
-36.1,-63.31,NA
-46.86,-68.23,NA
37.51,-4.98,NA
40.38,-109.9,NA
54.82,-3.71,NA
51.78,19.84,NA
40.11,17.91,NA
49.44,20.19,NA
50.01,9.3,NA
40.78,34.43,NA
57.4,26,NA
31.88,46.72,NA
7.8,1.74,NA
0.26,35.31,NA
-0.26,39,NA
-23.81,29.68,NA
53.07,48.5,NA
52.86,76.08,NA
10.74,76.96,NA
25.72,89.09,NA
59.84,91.55,NA
65.25,107.18,NA
71.38,149.35,NA
42.99,144.17,NA
46.83,119.86,NA
29.42,121.62,NA
29.73,114.94,NA
24.966,103.43,NA
41.01,123.55,NA
26,115.55,NA
1.45,103.78,NA
3.65,113.7,NA
-2.94,115.73,NA
-7.41,146.13,NA
-27.57,152.72,NA
-37.06,147.8,NA
-37.41,175.03,NA
-44.68,169.09,NA
-38.79,NA,177.35
-46.1,NA,167.15
-31.98,NA,152.12
-16.93,NA,144.66
-14.13,NA,135.34
-33.03,NA,116.46
4.96,NA,117.77
22.88,NA,120.93
20.84,NA,105.82
23.52,NA,116.18
27.8,NA,105.99
28.34,NA,109.42
39.88,NA,114.42
34.63,NA,132.26
34.92,NA,136.04
37.68,NA,127.17
35.85,NA,126.91
37.26,NA,128.93
43.8,NA,123.92
48.7,NA,134.11
51.97,NA,121.63
27.49,NA,98
39,NA,79.29
25.84,NA,83.94
25.04,NA,77.09
27.72,NA,72.26
31.47,NA,77.35
10.53,NA,78.56
17.69,NA,38.33
36.91,NA,34.36
1.1,NA,28.99
4.34,NA,10.19
7.58,NA,10.36
6.62,NA,1.14
9.32,NA,-4.4
5.22,NA,-3.87
11.05,NA,-14.06
44,NA,16.95
41.07,NA,21.44
57.63,NA,27.23
64.75,NA,-21.36
53.09,NA,20.37
52.72,NA,14.14
54.39,NA,-1.41
52.35,NA,-3.52
41.74,NA,-5.8
49.24,NA,11.85
46.29,NA,14.84
55.94,NA,-67.31
45.73,NA,-66.6
44.37,NA,-69.06
27.95,NA,-81.88
18.27,NA,-73.45
34.34,NA,-89.53
35.06,NA,-93.49
35.57,NA,-105.09
38.1,NA,-111.85
34.12,NA,-118.79
47.13,NA,-122.88
49.81,NA,-123.32
52.13,NA,-116.02
19.19,NA,-103.55
10.62,NA,-85.44
6.54,NA,-76.3
-1.45,NA,-48.45
-2.94,NA,-51.53
-3.47,NA,-56.1
-30.26,NA,-71.02
-34.2,NA,-55.64
-25.84,NA,-48.35
-15.5,NA,-44.84
-14.22,NA,-43.26
-15.41,NA,-39.48
-18.85,NA,-43
-21.9,NA,-43.61
39.81,-107.32,NA
39.44,-91.07,NA
42.1,-2.13,NA
30.52,112.98,NA
