country,Coal,Oil,Gas,Nuclear,Renewable,Biomass
Algeria,0.27418104,33.78727,65.668175,0,0.27036947,0
Argentina,1.2546072,38.385735,44.066475,2.1909652,14.102216,0
Australia,25.053648,35.974262,23.989574,0,14.982515,0
Austria,6.948082,35.089485,17.882238,0,40.080193,0
Azerbaijan,0.000341357,31.311161,66.366806,0,2.3216856,0
Bangladesh,15.396711,28.282612,55.312653,0,1.0080312,0
Belarus,3.8026295,28.531588,56.69017,9.880027,1.0955961,0
Belgium,4.266643,49.07744,21.347025,12.7837715,12.525129,0
Brazil,4.1283216,36.820137,7.781578,0.93855315,50.33141,0
Bulgaria,22.367754,29.710522,12.676435,20.23413,15.011163,0
Canada,2.6574826,31.19659,31.156326,5.7264166,29.263187,0
Chile,9.677463,45.874565,13.915722,0,30.532255,0
China,53.847416,19.167143,8.535924,2.2848086,16.164698,0
Colombia,6.920196,43.32527,20.837578,0,28.916952,0
Croatia,3.8618739,39.857483,24.714203,0,31.566439,0
Czechia,30.890577,27.400652,15.819395,17.904873,7.9845033,0
Denmark,4.138234,44.789013,8.337896,0,42.73486,0
Ecuador,0.29375818,68.6195,2.1090913,0,28.97765,0
Egypt,1.2730145,37.938618,54.897034,0,5.891331,0
Estonia,49.581875,28.23337,6.663083,0,15.521677,0
Finland,7.3998084,27.368042,3.5959537,25.699938,35.936253,0
France,2.051935,31.906906,14.07118,35.029808,16.940176,0
Germany,16.002974,35.16322,23.872103,0.5675054,24.394201,0
Greece,4.332894,56.386177,17.636091,0,21.644836,0
Hungary,3.991812,36.982914,32.359695,15.687342,10.97823,0
India,56.33865,27.099218,5.777001,1.1087015,9.676426,0
Indonesia,42.73576,30.631975,16.185648,0,10.446613,0
Iran,0.6199398,27.548838,69.5399,0.46839216,1.8229214,0
Ireland,4.1761494,46.83784,26.683203,0,22.302807,0
Israel,12.414269,39.909393,40.610416,0,7.0659175,0
Italy,3.6463835,41.592564,35.48287,0,19.27818,0
Japan,26.06564,38.23865,19.117428,3.9940329,12.584244,0
Kazakhstan,46.495907,23.11089,25.873026,0,4.5201697,0
Latvia,0.22330496,48.793842,19.066938,0,31.915909,0
Lithuania,1.9759632,56.95448,23.604887,0,17.464674,0
Luxembourg,1.0373664,71.939384,15.273525,0,11.749724,0
Malaysia,20.440435,37.16917,34.50247,0,7.88792,0
Mexico,3.1226797,45.397717,41.554913,1.3149223,8.60977,0
Morocco,29.86109,58.420734,3.2733977,0,8.444775,0
Netherlands,4.6087294,49.562378,27.00009,1.0403888,17.788414,0
New Zealand,4.762848,37.05668,15.913523,0,42.266953,0
North Macedonia,30.726402,41.944252,10.524166,0,16.805178,0
Norway,1.7386537,19.31196,6.85829,0,72.0911,0
Pakistan,18.299974,23.186523,40.401794,5.9536953,12.158016,0
Peru,2.3667138,41.914604,29.369184,0,26.3495,0
Philippines,40.20283,42.54716,5.258788,0,11.991215,0
Poland,36.583992,34.136375,17.126009,0,12.153621,0
Portugal,0.022071823,46.92806,17.006468,0,36.04341,0
Romania,8.949867,35.693466,25.633177,7.8699155,21.853575,0
Russia,12.252311,23.04658,52.159603,6.2341304,6.3073745,0
Saudi Arabia,0.038825113,64.07235,35.423664,0,0.46517056,0
Slovakia,14.290362,26.968592,22.493628,24.487387,11.760023,0
Slovenia,11.007521,34.575184,10.585101,19.283108,24.549088,0
South Africa,68.518974,22.375196,3.5217047,1.6461465,3.9379861,0
South Korea,21.666803,43.135624,17.393322,13.026417,4.7778306,0
Spain,2.09374,45.35774,18.627373,9.002409,24.918743,0
Sweden,3.0318573,21.673538,1.198655,20.205769,53.890182,0
Switzerland,0.3398899,34.127537,8.721347,18.485888,38.325344,0
Taiwan,32.899364,36.101048,22.215284,3.527413,5.256892,0
Thailand,12.082722,46.156075,33.91844,0,7.842765,0
Trinidad and Tobago,0,11.470209,88.519875,0,0.009916642,0
Turkey,23.548986,32.854275,24.895582,0,18.701162,0
Ukraine,21.950718,17.686308,30.388817,21.185843,8.788312,0
United Kingdom,2.6434424,38.681393,32.893276,5.261287,20.520597,0
